Usina/ Cliente/ DISCO,Consideração
Falcão 05,COD ajustado para Set/26 devido a atraso na assinatura dos contratos
Sertão 6 e 22,Compensação média NEXUS desses projetos de apenas 15%
Ventania 2 e 3,Mantido cliente NEXUS até novas negociações comerciais
Planalto 2,Compensação média NEXUS de 7%
Litoral 12,"Compensado pago NEXUS menor que 1%, compensação zerada. "
Araucária 7,Ajuste da compensação de contrato para 90%
Jatobá 75,Compensado pago NEXUS cerca de 50%
Jatobá 72,Iniciada rampa de contrato com ENERVA
Litoral 10,Compensação zerada em Julho devido a atraso na homolação de rateio e negociação com DISTRA referente ao início de faturamento. 
Araucária 22,Postergado 1 mês no gatilho contratual devido a baixa performance
Buriti,Em ajuste com a OPERON da base de cálculo pois maior parte de consumidores está em Alta Tensão
AME,Ajuste de PIS/COFINS para 0% na AME
TELMO,Ajustado % de compensação TELMO COPEL para 80% para refletir limitação de consumo do cliente
Serra Azul 13,Consideração valor de desconto GD3  (-75k cada mês)
Jacarandá 18,"Ajuste de valor de desconto de contrato de 18,1 para 8,5% conforme aditivo firmado"
Frevo 82,Considerado receita para novembro e dezembro por antecipação de conexão
Jacarandá 2,Desconsiderada receita Jacarandá 2 em dezembro pois faturamento inicia em janeiro 
Jatobá 71,"Troca de titularidade finalizada em 02/7, inciada a rampa de faturamento em agosto/26"
Coqueiro 1,Furto na usina em 21/06 causando um impacto de 50%
Jatobá 75,Furto na usina em 22/06 causando um impacto de 95% 
Jatobá 74,Furto na usina em 23/09 causando impacto de 50%
Ipê 71,Usina apresentou problema no transformador em 03/07
Aliança,"Usina sem transformador, previsão de instalação até 18/07 pela construção."
Ventania 4,Devido a incêndio ocorrido em maio/26 seguimos com 25% de performance
Sertão 07,"Projeto ainda não energizado, considerada rampa suave de performance"
Sertão 09,"Projeto ainda não energizado, considerada rampa suave de performance"
Sertão 17,"Projeto ainda não energizado, considerada rampa suave de performance"
Frevo 082,"Projeto ainda não energizado, considerada rampa suave de performance"
Frevo 101,"Projeto ainda não energizado, considerada rampa suave de performance"
Jacarandá 18,"Projeto recentemente energizado, sem histórico de performance, considerada rampa suave de performance"
Tapir 14,"Projeto recentemente energizado, sem histórico de performance, considerada rampa suave de performance"
